date,hour,type,北京
20170120,5,PM2.5,6
20170120,6,PM2.5,6
20170120,7,PM2.5,7
20170120,8,PM2.5,9
20170120,9,PM2.5,12
20170120,10,PM2.5,14
20170120,11,PM2.5,14
20170120,12,PM2.5,14
20170120,13,PM2.5,15
20170120,14,PM2.5,16
20170120,15,PM2.5,19
20170120,16,PM2.5,20
20170120,17,PM2.5,23
20170120,18,PM2.5,28
20170120,19,PM2.5,38
20170120,20,PM2.5,46
20170120,21,PM2.5,54
20170120,22,PM2.5,63
20170120,23,PM2.5,68
20170121,0,PM2.5,71
20170121,1,PM2.5,71
20170121,2,PM2.5,72
20170121,3,PM2.5,73
20170121,4,PM2.5,74
20170121,5,PM2.5,66
20170121,6,PM2.5,42
20170121,7,PM2.5,20
20170121,8,PM2.5,11
20170121,9,PM2.5,7
20170121,10,PM2.5,5
20170121,11,PM2.5,7
20170121,12,PM2.5,8
20170121,13,PM2.5,8
20170121,14,PM2.5,8
20170121,15,PM2.5,7
20170121,16,PM2.5,7
20170121,17,PM2.5,6
20170121,18,PM2.5,8
20170121,19,PM2.5,9
20170121,20,PM2.5,9
20170121,21,PM2.5,11
20170121,22,PM2.5,9
20170121,23,PM2.5,11
20170122,0,PM2.5,11
20170122,1,PM2.5,10
20170122,2,PM2.5,12
20170122,3,PM2.5,11
20170122,4,PM2.5,12
20170122,5,PM2.5,11
20170122,6,PM2.5,10
20170122,7,PM2.5,10
20170122,8,PM2.5,11
20170122,9,PM2.5,12
20170122,10,PM2.5,14
20170122,11,PM2.5,13
20170122,12,PM2.5,13
20170122,13,PM2.5,17
20170122,14,PM2.5,18
20170122,15,PM2.5,20
20170122,16,PM2.5,27
20170122,17,PM2.5,43
20170122,18,PM2.5,53
20170122,19,PM2.5,60
20170122,20,PM2.5,55
20170122,21,PM2.5,42
20170122,22,PM2.5,38
20170122,23,PM2.5,36
20170123,0,PM2.5,28
20170123,1,PM2.5,25
20170123,2,PM2.5,23
20170123,3,PM2.5,22
20170123,4,PM2.5,18
20170123,5,PM2.5,16
20170123,6,PM2.5,16
20170123,7,PM2.5,17
20170123,8,PM2.5,17
20170123,9,PM2.5,17
